sku,image,small_image,thumbnail,_media_is_disabled,_media_attibute_id
A50311-5,/a/5/a50311-5_20.jpg,/a/5/a50311-5_20.jpg,/a/5/a50311-5_20.jpg,0,88
A50312-5,/a/5/a50312-5_20.jpg,/a/5/a50312-5_20.jpg,/a/5/a50312-5_20.jpg,0,88
A503122-5,/a/5/a503122-5_20.jpg,/a/5/a503122-5_20.jpg,/a/5/a503122-5_20.jpg,0,88
A50313-5,/a/5/a50313-5_20.jpg,/a/5/a50313-5_20.jpg,/a/5/a50313-5_20.jpg,0,88
A50314-5,/a/5/a50314-5_20.jpg,/a/5/a50314-5_20.jpg,/a/5/a50314-5_20.jpg,0,88
A50315-5,/a/5/a50315-5_20.jpg,/a/5/a50315-5_20.jpg,/a/5/a50315-5_20.jpg,0,88
A50316-5,/a/5/a50316-5_20.jpg,/a/5/a50316-5_20.jpg,/a/5/a50316-5_20.jpg,0,88
A5032-5,/a/5/a5032-5_20.jpg,/a/5/a5032-5_20.jpg,/a/5/a5032-5_20.jpg,0,88
A5033-5,/a/5/a5033-5_20.jpg,/a/5/a5033-5_20.jpg,/a/5/a5033-5_20.jpg,0,88
A50331-5,/a/5/a50331-5_20.jpg,/a/5/a50331-5_20.jpg,/a/5/a50331-5_20.jpg,0,88
A5039-5,/a/5/a5039-5_20.jpg,/a/5/a5039-5_20.jpg,/a/5/a5039-5_20.jpg,0,88
A5040-5,/a/5/a5040-5_20.jpg,/a/5/a5040-5_20.jpg,/a/5/a5040-5_20.jpg,0,88
A5041-5,/a/5/a5041-5_20.jpg,/a/5/a5041-5_20.jpg,/a/5/a5041-5_20.jpg,0,88
A5042-5,/a/5/a5042-5_20.jpg,/a/5/a5042-5_20.jpg,/a/5/a5042-5_20.jpg,0,88
A5043-5,/a/5/a5043-5_20.jpg,/a/5/a5043-5_20.jpg,/a/5/a5043-5_20.jpg,0,88
A5045-5,/a/5/a5045-5_20.jpg,/a/5/a5045-5_20.jpg,/a/5/a5045-5_20.jpg,0,88
A5046-5,/a/5/a5046-5_20.jpg,/a/5/a5046-5_20.jpg,/a/5/a5046-5_20.jpg,0,88
A50491-5,/a/5/a50491-5_20.jpg,/a/5/a50491-5_20.jpg,/a/5/a50491-5_20.jpg,0,88
A50492-5,/a/5/a50492-5_20.jpg,/a/5/a50492-5_20.jpg,/a/5/a50492-5_20.jpg,0,88
A50493-5,/a/5/a50493-5_20.jpg,/a/5/a50493-5_20.jpg,/a/5/a50493-5_20.jpg,0,88
A50501-5,/a/5/a50501-5_20.jpg,/a/5/a50501-5_20.jpg,/a/5/a50501-5_20.jpg,0,88
A5052-5,/a/5/a5052-5_20.jpg,/a/5/a5052-5_20.jpg,/a/5/a5052-5_20.jpg,0,88
A5054-5,/a/5/a5054-5_20.jpg,/a/5/a5054-5_20.jpg,/a/5/a5054-5_20.jpg,0,88
A5056-5,/a/5/a5056-5_20.jpg,/a/5/a5056-5_20.jpg,/a/5/a5056-5_20.jpg,0,88
A5058-5,/a/5/a5058-5_20.jpg,/a/5/a5058-5_20.jpg,/a/5/a5058-5_20.jpg,0,88
A5059-5,/a/5/a5059-5_20.jpg,/a/5/a5059-5_20.jpg,/a/5/a5059-5_20.jpg,0,88
A50610-5,/a/5/a50610-5_20.jpg,/a/5/a50610-5_20.jpg,/a/5/a50610-5_20.jpg,0,88
A50612-5,/a/5/a50612-5_20.jpg,/a/5/a50612-5_20.jpg,/a/5/a50612-5_20.jpg,0,88
A50613-5,/a/5/a50613-5_20.jpg,/a/5/a50613-5_20.jpg,/a/5/a50613-5_20.jpg,0,88
A50615-5,/a/5/a50615-5_20.jpg,/a/5/a50615-5_20.jpg,/a/5/a50615-5_20.jpg,0,88
A50616-5,/a/5/a50616-5_20.jpg,/a/5/a50616-5_20.jpg,/a/5/a50616-5_20.jpg,0,88
A50617-5,/a/5/a50617-5_20.jpg,/a/5/a50617-5_20.jpg,/a/5/a50617-5_20.jpg,0,88
A50618-5,/a/5/a50618-5_20.jpg,/a/5/a50618-5_20.jpg,/a/5/a50618-5_20.jpg,0,88
A50619-5,/a/5/a50619-5_20.jpg,/a/5/a50619-5_20.jpg,/a/5/a50619-5_20.jpg,0,88
A50620-5,/a/5/a50620-5_20.jpg,/a/5/a50620-5_20.jpg,/a/5/a50620-5_20.jpg,0,88
A50621-5,/a/5/a50621-5_20.jpg,/a/5/a50621-5_20.jpg,/a/5/a50621-5_20.jpg,0,88
A50623-5,/a/5/a50623-5_20.jpg,/a/5/a50623-5_20.jpg,/a/5/a50623-5_20.jpg,0,88
A50624-5,/a/5/a50624-5_20.jpg,/a/5/a50624-5_20.jpg,/a/5/a50624-5_20.jpg,0,88
A50711-5,/a/5/a50711-5_20.jpg,/a/5/a50711-5_20.jpg,/a/5/a50711-5_20.jpg,0,88
A50713-5,/a/5/a50713-5_20.jpg,/a/5/a50713-5_20.jpg,/a/5/a50713-5_20.jpg,0,88
A50714-5,/a/5/a50714-5_20.jpg,/a/5/a50714-5_20.jpg,/a/5/a50714-5_20.jpg,0,88
A50715-5,/a/5/a50715-5_20.jpg,/a/5/a50715-5_20.jpg,/a/5/a50715-5_20.jpg,0,88
A5072-5,/a/5/a5072-5_20.jpg,/a/5/a5072-5_20.jpg,/a/5/a5072-5_20.jpg,0,88
A5073-5,/a/5/a5073-5_20.jpg,/a/5/a5073-5_20.jpg,/a/5/a5073-5_20.jpg,0,88
A5074-5,/a/5/a5074-5_20.jpg,/a/5/a5074-5_20.jpg,/a/5/a5074-5_20.jpg,0,88
A50741-5,/a/5/a50741-5_20.jpg,/a/5/a50741-5_20.jpg,/a/5/a50741-5_20.jpg,0,88
A5075-5,/a/5/a5075-5_20.jpg,/a/5/a5075-5_20.jpg,/a/5/a5075-5_20.jpg,0,88
A5077-5,/a/5/a5077-5_20.jpg,/a/5/a5077-5_20.jpg,/a/5/a5077-5_20.jpg,0,88
A5078-5,/a/5/a5078-5_20.jpg,/a/5/a5078-5_20.jpg,/a/5/a5078-5_20.jpg,0,88
A50785-5,/a/5/a50785-5_20.jpg,/a/5/a50785-5_20.jpg,/a/5/a50785-5_20.jpg,0,88
A5079-5,/a/5/a5079-5_20.jpg,/a/5/a5079-5_20.jpg,/a/5/a5079-5_20.jpg,0,88
A5080-5,/a/5/a5080-5_20.jpg,/a/5/a5080-5_20.jpg,/a/5/a5080-5_20.jpg,0,88
A5081-5,/a/5/a5081-5_20.jpg,/a/5/a5081-5_20.jpg,/a/5/a5081-5_20.jpg,0,88
A50811-5,/a/5/a50811-5_20.jpg,/a/5/a50811-5_20.jpg,/a/5/a50811-5_20.jpg,0,88
A5082-5,/a/5/a5082-5_20.jpg,/a/5/a5082-5_20.jpg,/a/5/a5082-5_20.jpg,0,88
A5083-5,/a/5/a5083-5_20.jpg,/a/5/a5083-5_20.jpg,/a/5/a5083-5_20.jpg,0,88
A5084-5,/a/5/a5084-5_20.jpg,/a/5/a5084-5_20.jpg,/a/5/a5084-5_20.jpg,0,88
A5085-5,/a/5/a5085-5_20.jpg,/a/5/a5085-5_20.jpg,/a/5/a5085-5_20.jpg,0,88
A5087-5,/a/5/a5087-5_20.jpg,/a/5/a5087-5_20.jpg,/a/5/a5087-5_20.jpg,0,88
A5089-5,/a/5/a5089-5_20.jpg,/a/5/a5089-5_20.jpg,/a/5/a5089-5_20.jpg,0,88
A50901-5,/a/5/a50901-5_20.jpg,/a/5/a50901-5_20.jpg,/a/5/a50901-5_20.jpg,0,88
A5110-5,/a/5/a5110-5_3.jpg,/a/5/a5110-5_3.jpg,/a/5/a5110-5_3.jpg,0,88
A51200-5,/a/5/a51200-5_20.jpg,/a/5/a51200-5_20.jpg,/a/5/a51200-5_20.jpg,0,88
A51201-5,/a/5/a51201-5_20.jpg,/a/5/a51201-5_20.jpg,/a/5/a51201-5_20.jpg,0,88
A51202-5,/a/5/a51202-5_20.jpg,/a/5/a51202-5_20.jpg,/a/5/a51202-5_20.jpg,0,88
A51203-5,/a/5/a51203-5_20.jpg,/a/5/a51203-5_20.jpg,/a/5/a51203-5_20.jpg,0,88
